episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,balpha,paramsindex,noise,datadir,figdir,csvname,trials,dxr
50000,100,[0.5],0.05,7,2,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.32368610e-05  1.61575414e-02  9.21743539e-03  6.40696388e-04
 -2.51689663e-03 -5.98120666e-03 -2.64529043e-03 -3.84134300e-03
 -4.69060463e-03 -6.39993876e-04 -5.06577153e-03 -2.21325273e-04
 -5.26140986e-03  8.73869930e-04  8.95713097e-04  1.10244988e-03
  1.47810693e-03  1.20438215e-03  1.55771973e-03  1.48128336e-03
  1.22740734e-03  8.75253036e-04  4.21040770e-04  7.86213091e-04
  5.29031316e-04 -1.36955281e-04  5.06411891e-04  2.41212415e-04
  3.95245277e-04 -6.21655081e-04  7.24176498e-05 -5.16973952e-04
 -2.23314923e-04 -1.96833513e-04 -8.97147900e-04 -9.00386200e-04
 -5.63645614e-04 -1.28295465e-03 -1.19724359e-03 -1.22545725e-03
 -1.00534725e-03 -1.62076686e-03 -1.19115063e-03 -1.21051362e-03
 -2.10682301e-03 -2.59183167e-03 -3.21082920e-03 -3.04149428e-03
 -2.95519255e-03 -3.48915757e-03 -5.45915250e-03 -5.17635082e-03
 -5.50287249e-03 -6.18743354e-03 -4.20877306e-03 -5.43685697e-03
 -6.45918434e-03 -5.77647022e-03 -6.65256053e-03 -7.09789180e-03
 -6.88960939e-03 -7.50410897e-03 -6.13325175e-03 -8.57310062e-03
 -8.35041756e-03 -1.02623668e-02 -9.44809242e-03 -1.01683876e-02
 -9.38268348e-03 -9.40073078e-03 -9.41088318e-03 -1.03142724e-02
 -9.89361767e-03 -1.10116946e-02 -1.06289673e-02 -1.01040173e-02
 -1.02164713e-02 -1.01355586e-02 -1.21590799e-02 -1.09676405e-02
 -1.17741786e-02 -1.13798429e-02 -1.17252531e-02 -1.16818024e-02
 -1.16038833e-02 -1.19206522e-02 -1.06694649e-02 -1.15105227e-02
 -1.11990685e-02 -1.00133483e-02 -1.01302014e-02 -1.04955766e-02
 -9.74470325e-03 -9.76069916e-03 -9.70218216e-03 -9.70536201e-03
 -9.63412482e-03 -9.91847055e-03 -1.01512949e-02 -9.93009022e-03]"
50000,100,[0.5],0.05,7,0,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.32368610e-05  1.96100702e-02  8.29232792e-03  7.19499750e-03
  4.60344286e-03  3.59796203e-03  9.89193777e-03  7.62844261e-03
  7.73057118e-03  6.84760180e-03  1.86906853e-03  5.39295891e-04
 -7.43260175e-04 -2.66957483e-03 -3.67581900e-03 -3.36636153e-03
 -4.78504595e-03 -4.73620422e-03 -4.08889438e-03 -4.65677696e-03
 -6.11487742e-03 -5.01373932e-03 -5.45768596e-03 -5.73009968e-03
 -6.11747985e-03 -7.39128719e-03 -6.22911189e-03 -6.66415727e-03
 -6.50415081e-03 -6.67348967e-03 -7.31320115e-03 -6.69420695e-03
 -7.36844997e-03 -6.90591770e-03 -7.04933419e-03 -6.72709270e-03
 -6.03796515e-03 -7.20431558e-03 -7.12088459e-03 -7.32791378e-03
 -7.58548102e-03 -7.38666980e-03 -7.37270266e-03 -7.36088484e-03
 -6.74714207e-03 -7.36267696e-03 -7.39703074e-03 -8.24275976e-03
 -8.95383989e-03 -9.27662057e-03 -8.96969354e-03 -8.02758494e-03
 -9.78337094e-03 -9.61943843e-03 -9.51046337e-03 -9.99499949e-03
 -1.05097845e-02 -1.09108190e-02 -1.05159496e-02 -1.04974156e-02
 -1.00559943e-02 -1.08970147e-02 -1.03605475e-02 -1.08721287e-02
 -1.07015711e-02 -1.12761463e-02 -1.08725782e-02 -1.00892700e-02
 -9.96112085e-03 -1.04364018e-02 -9.98257073e-03 -1.07227702e-02
 -1.03902582e-02 -1.07219003e-02 -1.02363362e-02 -1.01187255e-02
 -1.01287503e-02 -1.00815254e-02 -9.96954523e-03 -1.03734836e-02
 -9.66352192e-03 -1.04937372e-02 -1.02297353e-02 -1.02410326e-02
 -1.01842291e-02 -9.07009042e-03 -9.60561885e-03 -9.69630078e-03
 -9.59564636e-03 -9.54454128e-03 -9.26053867e-03 -1.02548114e-02
 -9.86729103e-03 -9.76814316e-03 -9.35725281e-03 -9.27131603e-03
 -9.23062290e-03 -9.14572014e-03 -9.12202986e-03 -9.04198950e-03]"
50000,100,[0.5],0.05,7,1,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.32368610e-05  1.73270028e-02  8.42878173e-03  1.91615494e-03
  5.46117934e-03  4.86018115e-03  4.84054477e-03  5.72393216e-03
  5.39664660e-03  5.72928958e-03  5.97807998e-03  5.53787023e-03
  5.38514527e-03  5.59542699e-03  5.20694014e-03  4.92465593e-03
  4.68359816e-03  4.43941305e-03  4.30812006e-03  4.33334227e-03
  4.39314629e-03  4.52845219e-03  3.46700283e-03  2.95116721e-03
  3.87496955e-03  3.05465606e-03  2.69563168e-03  2.58123151e-03
  2.67386725e-03  2.04404047e-03  6.66351892e-04  9.48376115e-04
  9.91745766e-04  9.84806626e-04 -2.91382070e-04 -7.80616490e-04
 -6.32176747e-04 -3.16356915e-03 -3.65649369e-03 -3.86063804e-03
 -4.78714112e-03 -5.61273062e-03 -6.25716494e-03 -6.58966233e-03
 -7.08766622e-03 -7.41170834e-03 -7.57773183e-03 -8.32887797e-03
 -7.45350799e-03 -1.03421266e-02 -8.48952663e-03 -8.83498245e-03
 -8.61016960e-03 -9.11234588e-03 -1.18693829e-02 -1.35841795e-02
 -1.24896120e-02 -1.25010769e-02 -1.25959911e-02 -1.31981216e-02
 -9.80708506e-03 -1.24797310e-02 -1.22119554e-02 -1.32328015e-02
 -1.33067238e-02 -1.35399752e-02 -1.25924282e-02 -1.31347656e-02
 -1.09558827e-02 -1.17474589e-02 -1.12082149e-02 -1.16346150e-02
 -1.21260238e-02 -1.19330668e-02 -1.08083068e-02 -1.06948847e-02
 -1.09795124e-02 -1.12943605e-02 -1.09474917e-02 -1.11478925e-02
 -1.20153161e-02 -1.26598214e-02 -1.26020045e-02 -1.26635750e-02
 -1.21799908e-02 -1.24887867e-02 -1.23165988e-02 -1.21109112e-02
 -1.11422780e-02 -1.22336603e-02 -1.36074649e-02 -1.37076091e-02
 -1.40845212e-02 -1.23869581e-02 -1.26288091e-02 -1.27908677e-02
 -1.30592220e-02 -1.16751680e-02 -1.22543564e-02 -1.25032317e-02]"
50000,100,[0.5],0.05,7,8,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.32368610e-05  1.81446353e-02  1.17358479e-02  8.96517449e-03
  6.22243007e-03  1.39391367e-02  1.10843335e-02  7.65292472e-03
  5.34712987e-03  5.39524445e-03  1.17698395e-02  1.38979818e-02
  1.42872424e-02  1.45592831e-02  1.43317285e-02  1.41386403e-02
  1.42963724e-02  1.42010103e-02  1.44214912e-02  1.33787399e-02
  1.48761201e-02  1.40061294e-02  1.38284443e-02  1.34716241e-02
  1.33178531e-02  1.25879150e-02  1.26774506e-02  1.25855900e-02
  1.15655806e-02  1.19182620e-02  1.19323693e-02  1.19789550e-02
  1.14438268e-02  1.14774461e-02  1.12345807e-02  1.17529989e-02
  1.15243031e-02  1.09154949e-02  1.09048599e-02  1.07085490e-02
  1.10871976e-02  1.02105357e-02  1.04521629e-02  1.00546544e-02
  9.68052630e-03  9.06173644e-03  9.54131634e-03  1.00686580e-02
  9.40718789e-03  8.37460890e-03  7.80213707e-03  8.17671809e-03
  8.11128707e-03  6.45422442e-03  6.83370903e-03  6.28671288e-03
  5.83089367e-03  5.71972593e-03  5.30174819e-03  4.52253099e-03
  3.40477081e-03  4.92223499e-03  3.77255658e-03  3.39321292e-03
  4.18522445e-03  2.89330417e-03  3.73458199e-03  2.87065840e-03
  3.60647578e-03  3.63006635e-03  3.58234041e-03  2.81163815e-03
  2.54914859e-03  2.10681497e-03  1.11210145e-03  1.20321891e-03
  9.80365931e-04  8.00058605e-04  7.83602810e-04  1.70550748e-04
  2.05168557e-04  7.67171053e-04  8.21690000e-04  8.29273833e-04
  1.39753134e-03  1.21003805e-03  1.20767741e-03  1.22679440e-03
  1.27102004e-03  5.87772990e-04  4.55076842e-04 -7.90603519e-05
 -1.50349307e-04 -2.63803487e-04  2.58502274e-04 -8.55810201e-05
 -1.27492583e-04  8.38631454e-05 -1.03343462e-04 -1.15737883e-04]"
50000,100,[0.5],0.05,7,9,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[1.32368610e-05 1.85161942e-02 1.06538053e-02 1.45085780e-02
 1.43794011e-02 1.51285430e-02 1.63346765e-02 1.67029279e-02
 1.62637127e-02 1.62096306e-02 1.63628301e-02 1.63960419e-02
 1.63384976e-02 1.65553912e-02 1.66238043e-02 1.62463826e-02
 1.65502219e-02 1.62604801e-02 1.60019822e-02 1.54665105e-02
 1.58599135e-02 1.57262713e-02 1.61765735e-02 1.61339177e-02
 1.55926801e-02 1.60228057e-02 1.57781414e-02 1.53290338e-02
 1.57345274e-02 1.52416360e-02 1.48849546e-02 1.46227231e-02
 1.50822356e-02 1.46883793e-02 1.35236193e-02 1.45763327e-02
 1.40514896e-02 1.33352696e-02 1.32423133e-02 1.27448278e-02
 1.19026590e-02 1.06942106e-02 8.75914203e-03 8.02502749e-03
 4.45212785e-03 3.96631433e-03 3.71807386e-03 2.79645511e-03
 1.99373918e-03 6.93726921e-03 7.01401916e-03 5.42219573e-03
 6.03666934e-03 5.57725923e-03 9.34024032e-03 9.76070323e-03
 8.52464805e-03 9.05618909e-03 9.12268430e-03 9.06880766e-03
 8.97357747e-03 8.71825788e-03 8.83999766e-03 9.01818089e-03
 8.95895417e-03 8.52475274e-03 7.84183592e-03 7.57689746e-03
 6.65988481e-03 7.13291867e-03 6.57210488e-03 8.73221660e-03
 7.57396224e-03 7.61101099e-03 7.13230688e-03 6.58018424e-03
 7.38302362e-03 6.21962784e-03 4.99568043e-03 3.93283721e-03
 6.16933406e-03 5.29590465e-03 5.94238625e-03 6.25024447e-03
 6.28903521e-03 5.24496637e-03 5.52781858e-03 5.41158941e-03
 5.41454543e-03 5.10293653e-03 3.81135413e-03 3.10751488e-03
 4.81607739e-03 4.15547373e-03 4.64486025e-03 4.95266532e-03
 4.72386934e-03 4.75272494e-03 4.51324255e-03 4.64875923e-03]"
50000,100,[0.5],0.05,7,7,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.32368610e-05  1.95449731e-02  1.37781880e-02  1.31141981e-02
  1.20860490e-02  2.82649309e-03  4.83349314e-03  5.75767203e-04
  7.84032999e-04 -1.50475725e-03 -2.37481287e-03 -5.15109713e-03
 -4.27406126e-03 -4.22363826e-03 -4.61888307e-03 -6.24803533e-03
 -5.81362390e-03 -6.53289254e-03 -7.15657630e-03 -7.19253581e-03
 -6.95067571e-03 -7.06158267e-03 -8.71022106e-03 -7.61107177e-03
 -8.82842603e-03 -8.67957714e-03 -8.73512424e-03 -8.57412140e-03
 -7.43360821e-03 -7.54890874e-03 -7.13915765e-03 -7.88134023e-03
 -6.82169522e-03 -7.21414394e-03 -6.71233604e-03 -7.50832577e-03
 -7.96046492e-03 -8.76848185e-03 -7.86914847e-03 -9.28799377e-03
 -7.97540378e-03 -7.66323772e-03 -7.49352186e-03 -7.23614212e-03
 -6.95455437e-03 -8.02209462e-03 -7.72679897e-03 -8.26681810e-03
 -8.84113306e-03 -8.43447046e-03 -8.07076124e-03 -7.88196322e-03
 -8.22453140e-03 -7.98274804e-03 -7.93495490e-03 -8.47267028e-03
 -8.20988888e-03 -8.13320476e-03 -8.05355894e-03 -7.79749998e-03
 -9.07019873e-03 -9.72636838e-03 -9.27537559e-03 -8.81200041e-03
 -8.68448552e-03 -9.30763067e-03 -9.10888050e-03 -8.85522480e-03
 -8.46367789e-03 -8.50391475e-03 -8.52191224e-03 -8.22599126e-03
 -8.14226230e-03 -7.98394392e-03 -7.68750300e-03 -7.53256502e-03
 -8.25258147e-03 -8.02460845e-03 -7.92656065e-03 -7.61134946e-03
 -7.70146973e-03 -7.66043763e-03 -7.59715668e-03 -8.32621028e-03
 -7.96532077e-03 -7.86211994e-03 -8.74589686e-03 -8.23249096e-03
 -8.13406824e-03 -8.14886407e-03 -8.02762692e-03 -7.72524695e-03
 -7.75667692e-03 -7.74885473e-03 -7.70601529e-03 -7.61147946e-03
 -7.53940229e-03 -7.46094391e-03 -6.42758173e-03 -7.31240716e-03]"
50000,100,[0.5],0.05,7,6,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rmax,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[1.32368610e-05 1.81865212e-02 9.08669046e-03 3.76256608e-03
 5.86788694e-03 8.96073935e-04 3.89302535e-03 3.84275403e-03
 9.88604269e-03 1.17047393e-02 1.08974947e-02 7.32156714e-03
 5.10260560e-03 4.54793217e-03 9.30131463e-03 1.07331708e-02
 1.12886235e-02 1.19264910e-02 1.19701692e-02 1.21015944e-02
 1.19649413e-02 1.01546621e-02 1.21265845e-02 1.32551739e-02
 1.25389172e-02 1.23430752e-02 1.37091321e-02 1.24681564e-02
 1.25439535e-02 1.28443345e-02 1.31711182e-02 1.33754582e-02
 1.30890161e-02 1.29561153e-02 1.32451060e-02 1.34643446e-02
 1.39339053e-02 1.34596484e-02 1.21904844e-02 1.39415084e-02
 1.35332826e-02 1.31116050e-02 1.31910443e-02 1.35990589e-02
 1.34339068e-02 1.39328417e-02 1.44262922e-02 1.35667163e-02
 1.45265017e-02 1.40032112e-02 1.37149381e-02 1.32975626e-02
 1.34400108e-02 1.29122103e-02 1.27609179e-02 1.30576600e-02
 1.24262610e-02 1.29574327e-02 1.23573461e-02 1.21157211e-02
 1.23940738e-02 1.19153780e-02 1.14609585e-02 1.18626671e-02
 1.19061958e-02 1.10400816e-02 1.08685048e-02 1.14213503e-02
 1.04341261e-02 1.07931045e-02 1.07749771e-02 1.06784442e-02
 1.04304906e-02 1.04878259e-02 1.00141289e-02 9.87752074e-03
 9.40339572e-03 8.85677443e-03 9.58462497e-03 9.69496257e-03
 9.53662667e-03 9.03791223e-03 8.67103603e-03 8.35951847e-03
 8.29200603e-03 7.55034008e-03 7.62121678e-03 5.32664297e-03
 5.44838189e-03 5.43801621e-03 5.10932402e-03 6.47667061e-03
 5.52246578e-03 6.26994783e-03 6.08982080e-03 5.56974401e-03
 5.12268868e-03 4.69081250e-03 4.06202784e-03 4.34224850e-03]"
